Timestamp,cof_level,milk_level,con_level,pump_is_turn_on
2024/8/14 0:07,8.5,8,31.2,TRUE
2024/8/14 0:07,84.3,83.1,7.5,TRUE
2024/8/14 0:07,74.3,73.1,100,FALSE
2024/8/14 0:07,64.3,63.1,100,FALSE
2024/8/14 0:07,30.4,9.7,49.8,TRUE
2024/8/14 0:07,8.1,89,30.6,TRUE
2024/8/14 0:07,90,89,20.6,FALSE
2024/8/14 0:07,80,79,20.6,FALSE
2024/8/14 0:07,70,79,10.6,FALSE
2024/8/14 0:07,66.1,74,5.4,TRUE
2024/8/14 0:07,5.3,20.2,54.5,TRUE
2024/8/14 0:07,90,20.2,54.5,FALSE
2024/8/14 0:07,80,20.2,54.5,FALSE
2024/8/14 0:07,70,10.2,54.5,FALSE
2024/8/14 0:07,60,10.2,54.5,FALSE
2024/8/14 0:07,51.8,1.8,53,TRUE
2024/8/14 0:07,41.8,100,43,FALSE
2024/8/14 0:07,31.8,90,43,FALSE
2024/8/14 0:07,21.8,80,43,FALSE
2024/8/14 0:07,11.8,80,43,FALSE
2024/8/14 0:07,5.5,72.4,41.7,TRUE
2024/8/14 0:07,90,62.4,41.7,FALSE
2024/8/14 0:07,80,52.4,41.7,FALSE
2024/8/14 0:07,70,42.4,41.7,FALSE
2024/8/14 0:07,35.9,8.8,11.6,TRUE
2024/8/14 0:07,34.7,92.3,9.4,TRUE
2024/8/14 0:07,8.4,64.4,72.9,TRUE
2024/8/14 0:07,24.4,6.4,8.3,TRUE
2024/8/14 0:07,14.4,100,90,FALSE
2024/8/14 0:07,4.4,90,90,FALSE
2024/8/14 0:07,90,90,80,FALSE
2024/8/14 0:07,80,80,80,FALSE
2024/8/14 0:07,70,70,80,FALSE
2024/8/14 0:07,23.4,4.6,29.4,TRUE
2024/8/14 0:07,7.6,87.7,12.4,TRUE
2024/8/14 0:07,92.7,80.8,9.2,TRUE
2024/8/14 0:07,23.1,8.9,18.5,TRUE
2024/8/14 0:07,13.1,100,18.5,FALSE
2024/8/14 0:07,3.1,100,18.5,FALSE
2024/8/14 0:07,91.6,93.4,9.2,TRUE
2024/8/14 0:07,81.6,93.4,100,FALSE
2024/8/14 0:07,12.6,8.4,33.6,TRUE
2024/8/14 0:07,2.6,100,33.6,FALSE
2024/8/14 0:07,90,100,33.6,FALSE
2024/8/14 0:07,80,100,33.6,FALSE
2024/8/14 0:07,70,100,23.6,FALSE
2024/8/14 0:07,60,90,23.6,FALSE
2024/8/14 0:07,48.1,74.5,9,TRUE
2024/8/14 0:07,8.4,48.3,50.8,TRUE
2024/8/14 0:07,90,48.3,50.8,FALSE
2024/8/14 0:07,57.3,7.4,20.3,TRUE
2024/8/14 0:07,44.4,84.3,4.9,TRUE
2024/8/14 0:07,6.3,47.7,64.1,TRUE
2024/8/14 0:07,90,37.7,64.1,FALSE
2024/8/14 0:07,80,37.7,64.1,FALSE
2024/8/14 0:07,44.7,5.6,35.3,TRUE
2024/8/14 0:07,34.7,90,35.3,FALSE
2024/8/14 0:07,24.7,90,25.3,FALSE
2024/8/14 0:07,14.7,90,15.3,FALSE
2024/8/14 0:07,4.7,90,5.3,FALSE
2024/8/14 0:07,90,90,100,FALSE
2024/8/14 0:07,80,90,100,FALSE
2024/8/14 0:07,70,90,90,FALSE
2024/8/14 0:07,9.1,39.8,37.2,TRUE
2024/8/14 0:07,64.1,4.1,5.7,TRUE
2024/8/14 0:07,54.1,100,100,FALSE
2024/8/14 0:07,44.1,100,100,FALSE
2024/8/14 0:07,4.6,67.4,61.5,TRUE
2024/8/14 0:07,90,67.4,61.5,FALSE
2024/8/14 0:07,80,57.4,61.5,FALSE
2024/8/14 0:07,70,57.4,51.5,FALSE
2024/8/14 0:07,60,57.4,41.5,FALSE
2024/8/14 0:07,31.6,29.3,4.2,TRUE
2024/8/14 0:07,13.7,9.7,81,TRUE
2024/8/14 0:07,3.7,100,71,FALSE
2024/8/14 0:07,90,100,61,FALSE
2024/8/14 0:07,80,100,61,FALSE
2024/8/14 0:07,70,100,61,FALSE
2024/8/14 0:07,6.5,48.3,27.1,TRUE
2024/8/14 0:07,90,48.3,17.1,FALSE
2024/8/14 0:07,80,48.3,7.1,FALSE
2024/8/14 0:07,70,48.3,90,FALSE
2024/8/14 0:07,29,7.2,48.2,TRUE
2024/8/14 0:07,8.9,70.5,25.5,TRUE
2024/8/14 0:07,90,60.5,25.5,FALSE
2024/8/14 0:07,80,60.5,15.5,FALSE
2024/8/14 0:07,65.4,52,2.3,TRUE
2024/8/14 0:07,55.4,52,90,FALSE
2024/8/14 0:07,45.4,52,80,FALSE
2024/8/14 0:07,6.4,16.9,43.9,TRUE
2024/8/14 0:07,90,16.9,43.9,FALSE
2024/8/14 0:07,74.9,4.3,25.8,TRUE
2024/8/14 0:07,50.2,72.2,6.5,TRUE
2024/8/14 0:07,40.2,62.2,100,FALSE
2024/8/14 0:07,30.2,62.2,90,FALSE
2024/8/14 0:07,20.2,52.2,90,FALSE
2024/8/14 0:07,10.2,42.2,90,FALSE
2024/8/14 0:07,4.2,41.1,85.2,TRUE
2024/8/14 0:07,90,41.1,75.2,FALSE
